"TestSet","Frames","RF","LR","NB","GBT","MLP","KNN"
1,4500,0.600828479743971,0.600828479743971,0.399171520256029,0.617406677736005,0.549394771028158,0.797809647530477
2,4500,0.603469384236028,0.603469384236028,0.396530615763972,0.619648060972876,0.602068353077095,0.797824737468315
3,4500,0.601306823324555,0.601306823324555,0.398693176675445,0.621969458607923,0.595552835401465,0.79692517229638
4,4500,0.601694659190483,0.601694659190483,0.398305340809517,0.622396608955018,0.601694659190483,0.79796174714787
5,4500,0.601802732064107,0.601802732064107,0.398197267935893,0.621043347316339,0.601312251263849,0.7989200817468
1,9000,0.600897921568468,0.600897921568468,0.399102078431532,0.663907386036953,0.543629935612254,0.902197094192054
2,9000,0.602647517083724,0.602645472353199,0.397354527646801,0.661286299078644,0.596398820599433,0.902180091685717
3,9000,0.601127632298786,0.601127632298786,0.398872367701214,0.672531416113465,0.59781046632209,0.901911912402322
4,9000,0.601862445124385,0.601862445124385,0.398137554875615,0.661786105340715,0.601862445124385,0.902287123545604
5,9000,0.60202445502503,0.60202445502503,0.39797554497497,0.671462609596782,0.601836778823597,0.902810247120598
1,13500,0.603595662273135,0.602187973547295,0.398028697470736,0.713318673273563,0.555895739521063,0.934794135617216
2,13500,0.603585214526788,0.602212296975944,0.398090849686412,0.708297460978288,0.596662692077094,0.934897570111086
3,13500,0.602807851539998,0.601324651272968,0.398999714665647,0.717244423866873,0.601426940946556,0.934608634325184
4,13500,0.60394651627179,0.602331480382104,0.397874952776728,0.707555723460521,0.602328781909439,0.934897997733283
5,13500,0.603651162008543,0.602332761578045,0.397964551172098,0.71735243668651,0.600049776342784,0.935231560891938
1,18000,0.610598250586445,0.601974323616065,0.40475160668217,0.752856408664635,0.565910351460134,0.950311159508047
2,18000,0.611400056441975,0.602411111529955,0.404867254383168,0.746138462149746,0.601245594927965,0.950384039757972
3,18000,0.610914259648437,0.601706702181386,0.404883070231171,0.756561262890377,0.605285665412248,0.950133791114804
4,18000,0.611799624175526,0.602609971481795,0.40425091534569,0.745529309924682,0.602541658297452,0.950433176960716
5,18000,0.611186026378775,0.602425014004176,0.404655497275551,0.756768345470286,0.601636706217854,0.950566787187452
1,22500,0.619866548515141,0.602466579048681,0.427071302454631,0.782853425730482,0.574233840455614,0.959199556599891
2,22500,0.62033647596707,0.602652728181273,0.427364985448925,0.774493202581176,0.605497367857481,0.959285212688072
3,22500,0.619945082894293,0.602152206185601,0.426692966245647,0.785590109942087,0.609268693017694,0.959055306288581
4,22500,0.620970896362149,0.60290413529932,0.42654497589576,0.775703922700339,0.602562814279011,0.959325496514124
5,22500,0.620109386111731,0.602602795312214,0.426960166427542,0.785361081214748,0.605337863012607,0.959448638233359
1,27000,0.629505213551312,0.603374351024634,0.452638792130365,0.804520526553352,0.581852719938563,0.96472269383337
2,27000,0.630164435041458,0.603611611674403,0.453135870618962,0.796669527480925,0.609385514205226,0.964787748491657
3,27000,0.629448780623398,0.603103375282331,0.452226679961484,0.806690837765929,0.612752333660952,0.964562279543253
4,27000,0.630863452784338,0.603835809060935,0.452355078664248,0.799145189444502,0.602707755758634,0.964818570238788
5,27000,0.630063443843894,0.603691589218039,0.452710066408976,0.80632129057366,0.609316786566812,0.964908091602618
1,31500,0.639210948135926,0.604289358846103,0.471450035655677,0.82092587814021,0.588696832682718,0.968361148150926
2,31500,0.639751911827573,0.604837516094669,0.472333048970354,0.813905921377342,0.613668225263756,0.968415382533846
3,31500,0.639375206485552,0.60430252357112,0.471207654578261,0.822789016239295,0.617222165747541,0.96818978881293
4,31500,0.640583733054736,0.60494752147311,0.471406892239177,0.816764912976393,0.603120495984992,0.968420102745559
5,31500,0.639836675034158,0.604797432556957,0.471606876171714,0.822440977407772,0.6141717771917,0.968498617775094
1,36000,0.648529889785581,0.605801632754238,0.483711627819962,0.832683614696191,0.594583755241207,0.970731675946691
2,36000,0.648984307475995,0.606523386845582,0.484689956796324,0.826415661084025,0.618110013049345,0.970773090415656
3,36000,0.648662386740486,0.605893117140193,0.483437293316725,0.834567492971308,0.621234712740921,0.970576481283697
4,36000,0.64980783077887,0.606358767311595,0.483509566380205,0.829440464946651,0.605101017421472,0.970790044605702
5,36000,0.648995961861637,0.60618210565585,0.483697171198121,0.833979653770274,0.618781261073305,0.970831964092963
1,40500,0.656172995357257,0.607197077861582,0.491334686501868,0.840855693506224,0.598677297970137,0.972302859845624
2,40500,0.656318413005664,0.607833778304934,0.492255069038575,0.835152352249954,0.62124520764484,0.972331658535187
3,40500,0.656064440619621,0.607234423407917,0.49104908777969,0.84270430292599,0.623705335628227,0.972137969018933
4,40500,0.657201933653552,0.607584277712505,0.490993587553373,0.838182713948449,0.607248665818728,0.972360238863086
5,40500,0.65639177258602,0.607448870891972,0.49116530035663,0.84208973756702,0.621679337290008,0.972387083683457
1,45000,0.661612538993787,0.608450766853547,0.496421808888228,0.846470483297981,0.600899484035376,0.973310860348645
2,45000,0.661734604486654,0.609020311739924,0.497301242905077,0.841159473068802,0.622793315488066,0.973323671410642
3,45000,0.661524373211897,0.608384401821537,0.496024381676288,0.848297493694029,0.625268744392341,0.973136141253745
4,45000,0.662700864038925,0.608795697114736,0.496038167409593,0.84402570255104,0.608704121586893,0.973353638750952
5,45000,0.661822352434715,0.608610262864853,0.496100950100528,0.847637086273661,0.623504861170313,0.973385747803723
1,49500,0.666013636948411,0.609588575839444,0.499815257944166,0.850329602470089,0.602136112183198,0.974017753763026
2,49500,0.66612898412473,0.610152372543511,0.500669401901492,0.845330600156623,0.623618104414348,0.974034821247568
3,49500,0.665891991133831,0.609462218496557,0.499400865017203,0.85216331442501,0.626149027755635,0.973847372291679
4,49500,0.667145031506216,0.609963024061631,0.499485959331613,0.848069337345492,0.609757716527411,0.974064873064372
5,49500,0.666211940725701,0.60982661042479,0.499565007448926,0.851476040404373,0.624565908321073,0.974089372694411
1,54000,0.669446883895967,0.610488637149836,0.502066225259206,0.852973541307588,0.603225664724588,0.97449829081281
2,54000,0.669572650263099,0.611005813313569,0.502853643242086,0.848113677190949,0.624129946794599,0.97451411826362
3,54000,0.669276340427164,0.610321468335162,0.501595884817695,0.854754293293549,0.627092895435729,0.97433108603949
4,54000,0.670602190730174,0.610839625037811,0.50168943059296,0.850784217976188,0.610326559283082,0.974544161781348
5,54000,0.669633558623852,0.610713740970786,0.501773771415815,0.854089623942278,0.625472610080395,0.974576784806981
1,58500,0.672118610691513,0.611342097522795,0.503516144953113,0.854748266355583,0.604122858182652,0.974822647303691
2,58500,0.672270821692969,0.611834468170157,0.504322115885439,0.850013631997863,0.624805052462009,0.974839369209828
3,58500,0.67190622019678,0.611133810417387,0.503022551041051,0.856535456925409,0.62773641521261,0.974657110369453
4,58500,0.673256049281543,0.611688514963815,0.503163840794056,0.852641385849003,0.610755363874092,0.974870719692778
5,58500,0.672275506393519,0.611548668970431,0.503248486939492,0.85588743697347,0.62610017534999,0.974902066756643
1,63000,0.674127779381468,0.611943876562444,0.504477755062498,0.855948657316056,0.604529062157706,0.975035984166967
2,63000,0.674288080754768,0.612430683530441,0.505267335109456,0.85127765678334,0.625262353663858,0.975051259964744
3,63000,0.673996216995658,0.611727807453082,0.50394330532224,0.857735720245396,0.628128400838406,0.97487498252497
4,63000,0.675271947295848,0.612268640930725,0.504051656395024,0.853876453639226,0.610784483312493,0.975085130252994
5,63000,0.674329573882187,0.612119447634027,0.504130585113088,0.857091591578974,0.626339851286084,0.975116147219164
1,67500,0.675542434423281,0.61235474631349,0.505174186471232,0.856740695015914,0.604757617279266,0.975178354129028
2,67500,0.675735022791271,0.612865312604258,0.505997664121965,0.85210855494448,0.62565220574398,0.975194685165013
3,67500,0.675443995227638,0.612124236635691,0.504646864342801,0.85850505602221,0.628422276460062,0.975017793209748
4,67500,0.676691370934533,0.612702861809744,0.504789175068771,0.854691828918441,0.610814906688236,0.975227591466561
5,67500,0.675743273761341,0.61253238222601,0.504862924458429,0.857883373364178,0.626577335710119,0.975257055037129
1,72000,0.676532861669781,0.612612039267655,0.505727960898791,0.857287343852423,0.604819408047882,0.975275358728819
2,72000,0.676713043469749,0.613139447070783,0.506567423212025,0.85267995013682,0.625910157200183,0.975291590458259
3,72000,0.676400723143276,0.612394225617766,0.505213921731238,0.859041370351615,0.628529910389925,0.975114183736126
4,72000,0.677666900321896,0.612985193568346,0.505348779379861,0.855248627438695,0.61091656158708,0.975323266578426
5,72000,0.67673227482973,0.612817188803465,0.505439550540675,0.858428243560269,0.626713475555068,0.9753533676159
1,76500,0.677280850293199,0.612880141715533,0.506134156264903,0.857691382112075,0.604960629421593,0.97534573425604
2,76500,0.677463874560175,0.613408260171489,0.506976687439913,0.85310305449683,0.626016172875053,0.975362962456871
3,76500,0.67716311876829,0.612642378965988,0.505621008644816,0.859444294572562,0.628695852820066,0.975187558021151
4,76500,0.678401939858718,0.613240668114988,0.505756759170816,0.855662972976007,0.611068674532375,0.975394485283889
5,76500,0.677492688627551,0.613091103288665,0.505856176236416,0.858832787166937,0.626778051091495,0.975424220693857
1,81000,0.677891486159346,0.613178698593772,0.506469038143993,0.857991436963288,0.605155357255932,0.975398561137062
2,81000,0.678070100682989,0.613707495830239,0.507324413494199,0.853409464444417,0.626159558796674,0.975414358587273
3,81000,0.67777922730335,0.612952657629416,0.505969881887464,0.859742337093879,0.628914692607549,0.975240859226836
4,81000,0.678998912390709,0.613555323172897,0.506098745961648,0.855964097690985,0.611205249358661,0.975446233964095
5,81000,0.678082615513291,0.613377733200381,0.506177969358831,0.859126710602141,0.626935410566434,0.975476153013919
1,85500,0.678373291834849,0.613386665369839,0.506719350289355,0.858217186208238,0.605260905509896,0.975437922482128
2,85500,0.678548889150363,0.613897216628078,0.507555255616483,0.853635459281164,0.62617748505626,0.975453077092877
3,85500,0.678244745999961,0.613138402317398,0.506196415031981,0.859955868343799,0.628980111592822,0.975278982055719
4,85500,0.679468214231528,0.613739501028987,0.506325642192734,0.856191329279631,0.611245326766492,0.975485218771518
5,85500,0.678557862765458,0.613580466073153,0.506428871925938,0.859348820469672,0.627035939137646,0.975514988218071
1,238556,0.68000402354937,0.613649794518494,0.507550925464715,0.859000225357453,0.605376854725688,0.975574830764291
2,238556,0.680166153983025,0.614188556050134,0.508414071739608,0.854444585200092,0.626331954035438,0.975589425017479
3,238556,0.67987586051563,0.613430496340437,0.507042416901607,0.860723463880214,0.628844981761394,0.975416186756361
4,238556,0.681080022438005,0.613980714921274,0.507155015667918,0.856990115671786,0.611385836976285,0.975619946613022
5,238556,0.680194495077412,0.613877748024025,0.507294774468217,0.86012662298878,0.627227763234066,0.975652326991222
